ideaA,ideaB,aiRelatedness,aiGenerality,humanRelatedness,humanGenerality
kant's view of the mind and consciousness of self,philosophy of mind,3,3,3,-1
medieval problem of universals,philosophy of mind,2,3,0,-1
other minds,philosophy of mind,3,3,4,-1
consciousness and intentionality,philosophy of mind,3,2,4,-1
neutral monism,philosophy of mind,3,2,3,-1
18th century british aesthetics,philosophy of mind,2,3,0,-1
leibniz's philosophy of mind,philosophy of mind,3,2,2,-1
chinese room argument,philosophy of mind,3,3,4,-1
mind,philosophy of mind,3,3,4,-1
aristotle's psychology,philosophy of mind,3,3,2,0
panpsychism,philosophy of mind,3,2,3,0
continental rationalism,philosophy of mind,3,3,2,0
descartes' epistemology,philosophy of mind,3,0,1,0
animal cognition,philosophy of mind,3,0,4,0
japanese zen buddhist philosophy,philosophy of mind,2,0,2,0
mental representation in medieval philosophy,philosophy of mind,3,3,2,0
computational theory of mind,philosophy of mind,3,0,4,0
folk psychology as a theory,philosophy of mind,3,3,4,0
matter,philosophy of mind,1,0,2,1
cognitive science,philosophy of mind,3,0,4,0
philosophies of the particular sciences,philosophy of mind,3,0,3,0
japanese confucian philosophy,philosophy of mind,1,3,1,0
animal consciousness,philosophy of mind,3,3,4,0
mental imagery,philosophy of mind,3,1,4,0
folk psychology,philosophy of mind,3,2,4,0
philosophy of psychology,philosophy of mind,3,0,4,0
controversies surrounding innateness,philosophy of mind,3,3,4,1
psychiatry,philosophy of mind,3,0,4,1
ideas,philosophy of mind,3,3,4,1
mental causation,philosophy of mind,3,3,4,0
mental representation,philosophy of mind,3,3,4,0
teleological arguments for god's existence,philosophy of mind,1,3,1,3
epistemological problems of memory,philosophy of mind,3,0,3,0
philosophy of mathematics,philosophy of mind,2,3,1,2
ancient theories of soul,philosophy of mind,3,3,1,0
eliminative materialism,philosophy of mind,3,1,4,0
metaphysics of mind,philosophy of mind,3,0,4,0
probability and statistics,philosophy of mind,1,0,2,1
body,philosophy of mind,3,3,4,1
cartesian dualism,philosophy of mind,3,1,4,0
internalism and externalism,philosophy of mind,3,0,4,1
internalism and externalism,philosophy of mind,3,0,4,1
modularity of mind,philosophy of mind,3,3,4,0
20th century continental philosophy,philosophy of mind,3,0,2,3
philosophy of science and the sciences,philosophy of mind,3,0,4,1
dualism,philosophy of mind,3,3,4,0
externalism,philosophy of mind,3,3,4,1
origin of aesthetic,philosophy of mind,2,3,1,0
philosophy of perception,philosophy of mind,3,2,4,2
perception,philosophy of mind,3,1,4,0
evolutionary psychology,philosophy of mind,3,0,4,0
abstract object,philosophy of mind,3,3,1,1
occasionalism,philosophy of mind,3,3,4,0
the theory theory,philosophy of mind,3,3,4,0
aspects of mind,philosophy of mind,3,2,3,3
induction,philosophy of mind,2,3,3,1
self-consciousness,philosophy of mind,3,3,4,0
change,philosophy of mind,2,0,2,1
modularity,philosophy of mind,3,1,4,0
philosophy of computer science,philosophy of mind,3,0,4,2
proper names,philosophy of mind,1,3,3,0
confirmation and induction,philosophy of mind,1,0,2,1
probability,philosophy of mind,1,3,2,1
everett's relative-state formulation of quantum mechanics,philosophy of mind,3,0,1,0
realism and anti-realism,philosophy of mind,3,0,2,1
sense-data,philosophy of mind,3,1,3,1
intentionality,philosophy of mind,3,3,4,0
existence,philosophy of mind,3,1,4,1
realism and anti-realism,philosophy of mind,3,0,4,1
philosophy of chemistry,philosophy of mind,2,3,1,2
logic and language,philosophy of mind,3,0,1,3
simulation theory,philosophy of mind,3,2,4,0
philosophy of biology,philosophy of mind,3,0,3,2
propositional attitude,philosophy of mind,3,3,4,0
mathematical logic,philosophy of mind,1,0,1,3
unity of consciousness,philosophy of mind,3,3,4,0
motion and time,philosophy of mind,1,0,2,1
monism,philosophy of mind,3,2,4,1
realism,philosophy of mind,3,0,4,1
consciousness and psychology,philosophy of mind,3,2,4,0
internalism,philosophy of mind,3,3,4,1
philosophy of art,philosophy of mind,2,3,1,2
identity theory of mind,philosophy of mind,3,2,4,0
syntactic analysis,philosophy of mind,2,3,3,0
medieval theories of the categories,philosophy of mind,2,3,1,0
metaphysics and language,philosophy of mind,3,0,4,1
virtues and vices,philosophy of mind,1,-1,1,2
sense data,philosophy of mind,3,1,4,1
problem of perception,philosophy of mind,3,3,4,1
ancient philosophy (aristotle),philosophy of mind,3,3,1,1
computation and representation,philosophy of mind,3,3,4,0
epistemological problems of perception,philosophy of mind,3,2,4,0
nonhuman animals,philosophy of mind,3,3,2,3
imagery,philosophy of mind,3,2,4,0
inherence,philosophy of mind,3,1,0,-1
existence of god,philosophy of mind,1,0,1,1
concepts,philosophy of mind,3,3,4,0
mathematical logic,philosophy of mind,1,0,1,3
social epistemology,epistemology,3,3,4,0
feminist social epistemology,epistemology,3,1,4,0
virtue epistemology,epistemology,3,2,4,0
naturalized epistemology,epistemology,3,3,4,0
coherentism,epistemology,3,2,3,0
moral epistemology,epistemology,3,1,4,0
epistemology of science,epistemology,3,2,4,0
evolutionary epistemology,epistemology,3,1,4,0
epistemology of religion,epistemology,3,2,4,0
matter,epistemology,1,-1,0,-1
knowledge and skepticism,epistemology,3,1,3,3
feminist epistemology and philosophy of science,epistemology,3,0,2,1
knowledge,epistemology,3,3,4,1
foundationalism,epistemology,3,3,4,0
formal epistemology,epistemology,3,1,4,0
analytic feminism,epistemology,3,3,1,1
perceptual experience,epistemology,3,3,3,1
reliabilism,epistemology,3,3,4,0
epistemological problems of perception,epistemology,3,2,4,0
virtues and vices,epistemology,1,0,1,1
epistemological problems of testimony,epistemology,3,2,3,0
philosophy of science,epistemology,3,3,3,2
philosophies of the particular sciences,epistemology,3,3,1,0
value of knowledge,epistemology,3,3,2,0
philosophy of psychology,epistemology,3,3,3,0
psychiatry,epistemology,2,3,1,3
philosophy of mathematics,epistemology,3,3,1,0
moral epistemology and moral reasoning,epistemology,3,1,2,0
interpretation,epistemology,3,3,1,1
probability and statistics,philosophy of science and the sciences,3,3,2,1
probability,philosophy of science and the sciences,3,3,2,1
philosophies of the particular sciences,philosophy of science and the sciences,3,3,3,0
philosophy of mathematics,philosophy of science and the sciences,3,0,1,2
interpretations of probability,philosophy of science and the sciences,3,3,2,0
folk psychology,philosophy of science and the sciences,3,3,1,0
social dimensions of scientific knowledge,philosophy of science and the sciences,3,3,2,0
molecular biology,philosophy of science and the sciences,3,3,-1,-1
unity of science,philosophy of science and the sciences,3,3,4,0
philosophy of science,philosophy of science and the sciences,3,0,4,2
philosophy of computer science,philosophy of science and the sciences,3,3,3,0
scientific realism,philosophy of science and the sciences,3,3,4,0
bayes's theorem,philosophy of science and the sciences,3,3,3,0
philosophy of physics,philosophy of science and the sciences,3,1,3,0
constructive mathematics,philosophy of science and the sciences,3,3,0,-1
historicist theories of rationality,philosophy of science and the sciences,3,3,3,0
boltzmann's work in statistical physics,philosophy of science and the sciences,3,3,-1,-1
indispensability arguments in the philosophy of mathematics,philosophy of science and the sciences,3,3,4,0
aristotle and mathematics,philosophy of science and the sciences,3,3,1,0
explanation,philosophy of science and the sciences,3,3,4,0
evolutionary psychology,philosophy of science and the sciences,3,3,1,0
molecular biology and genetics,philosophy of science and the sciences,3,1,0,-1
einstein's philosophy of science,philosophy of science and the sciences,3,2,3,0
conservation biology,philosophy of science and the sciences,3,3,1,0
methodological debates in cosmology the 1930s and 1940s,philosophy of science and the sciences,3,3,3,0
folk psychology as a theory,philosophy of science and the sciences,2,3,3,0
hilbert's program,philosophy of science and the sciences,3,3,1,0
scientific progress,philosophy of science and the sciences,3,1,4,0
classical physics,philosophy of science and the sciences,3,3,2,0
literature,philosophy of science and the sciences,1,0,0,-1
malebranche's theory of ideas and vision in god,philosophy of mind,3,3,0,-1
kant's view of the mind and consciousness of self,philosophy of mind,3,3,1,-1
medieval problem of universals,philosophy of mind,2,3,0,-1
other minds,philosophy of mind,3,3,4,-1
consciousness and intentionality,philosophy of mind,3,2,4,-1
neutral monism,philosophy of mind,3,2,0,-1
18th century british aesthetics,philosophy of mind,2,3,0,-1
chinese room argument,philosophy of mind,3,3,0,-1
leibniz's philosophy of mind,philosophy of mind,3,2,0,-1
mind,philosophy of mind,3,3,4,-1
aristotle's psychology,philosophy of mind,3,3,0,-1
panpsychism,philosophy of mind,3,2,0,-1
continental rationalism,philosophy of mind,3,3,0,-1
descartes' epistemology,philosophy of mind,3,0,0,-1
animal cognition,philosophy of mind,3,0,0,-1
japanese zen buddhist philosophy,philosophy of mind,2,0,0,-1
mental representation in medieval philosophy,philosophy of mind,3,3,0,-1
computational theory of mind,philosophy of mind,3,0,3,-1
folk psychology as a theory,philosophy of mind,3,3,4,-1
matter,philosophy of mind,1,0,0,-1
higher-order theories of consciousness,aspects of mind,3,3,3,-1
consciousness and psychology,aspects of mind,3,2,2,-1
theories of mental content,mental content,3,2,3,-1
externalism about mental content,mental content,3,0,4,-1
teleological theories of mental content,mental content,3,2,1,-1
narrow mental content,mental content,3,1,3,-1
consciousness and intentionality,mental content,3,3,3,-1
consciousness and mental content,mental content,3,2,4,-1
causal theories of mental content,mental content,3,1,0,-1
externalism,mental content,3,3,4,-1
internalism and externalism,mental content,3,0,4,-1
western philosophy,mental content,3,3,4,-1
game theory in ethics,ethics,3,3,4,0
religion and morality,ethics,3,3,4,3
medieval theories of practical reason,ethics,3,3,1,0
environmental aesthetics,aesthetics,3,1,4,0
existence of god,existence,3,3,3,0
essence and existence,existence,3,3,4,0
properties,existence,3,2,4,3
aspects of consciousness,consciousness,3,2,4,1
aspects of consciousness,diversity,1,3,0,3
aspects of consciousness,mind in indian buddhist philosophy,3,2,3,3
aspects of consciousness,self,3,2,4,3
aspects of consciousness,conscience,1,0,3,3
aspects of consciousness,literature,2,3,0,3
aspects of consciousness,models and idealization,2,0,0,3
aspects of consciousness,perceptual experience,3,2,4,0
aspects of consciousness,consciousness and intentionality,3,2,4,1
eliminative materialism,materialism,3,1,4,1
eliminative materialism,folk psychology,3,3,4,1
eliminative materialism,philosophy of psychology,3,3,4,1
eliminative materialism,psychiatry,3,3,3,1
eliminative materialism,eliminativism,3,2,4,2
eliminative materialism,philosophies of the particular sciences,3,3,2,1
eliminative materialism,mental state,3,3,4,1
eliminative materialism,philosophy of science and the sciences,3,3,2,1
eliminative materialism,belief,3,3,4,0
mind-body problem,mind,3,1,4,1
mind-body problem,neutral monism,3,0,4,0
mind-body problem,consciousness,3,0,4,1
mind-body problem,philosophy of mind,3,3,4,1
mind-body problem,metaphysics,3,3,4,1
mind-body problem,pain,3,0,3,0
mind-body problem,functionalism,3,3,4,0
mind-body problem,philosophy of psychology,3,3,3,1
mind-body problem,psychiatry,3,3,2,1
behaviorism,philosophy of psychology,3,3,4,1
behaviorism,psychiatry,3,3,3,1
behaviorism,functionalism,2,0,4,2
behaviorism,functionalism,2,0,4,2
behaviorism,mental state,2,3,4,1
behaviorism,philosophies of the particular sciences,3,3,3,1
behaviorism,cognitive science,3,3,4,3
behaviorism,philosophy of mind,3,1,4,1
behaviorism,reference and denotation,1,-1,1,3
dualism,mind,3,3,4,1
dualism,body,3,3,4,1
dualism,property dualism,3,2,4,0
dualism,substance,3,3,4,1
dualism,cartesian dualism,3,2,4,0
dualism,materialism,1,0,4,2
dualism,matter,3,3,2,1
dualism,consciousness,3,3,4,1
functionalism,mental state,3,3,4,1
functionalism,pain,1,0,3,3
functionalism,behaviorism,2,0,4,2
functionalism,behaviorism,2,0,4,2
functionalism,belief,3,0,3,3
functionalism,qualia,3,0,3,3
functionalism,qualia,3,0,3,3
functionalism,desire,3,0,3,3
functionalism,inverted qualia,3,1,4,0
functionalism,desires,3,3,3,3
physicalism,supervenience,3,0,4,1
physicalism,supervenience,3,0,4,1
physicalism,property and ownership,1,3,4,1
physicalism,knowledge argument,1,0,4,0
physicalism,knowledge argument,3,0,4,0
physicalism,a priori and a posteriori,1,0,3,3
physicalism,materialism,3,0,4,2
physicalism,properties,3,3,4,1
physicalism,zombies,1,0,4,3
physicalism,zombies,2,0,4,3
physicalism,philosophy of physics,3,3,2,1
physicalism,naturalism,3,0,4,1
philosophy of mind,mind,3,1,4,2
philosophy of mind,body,3,3,3,2
philosophy of mind,ideas,3,3,4,0
philosophy of mind,matter,3,3,3,1
philosophy of mind,attention,2,0,3,0
philosophy of mind,existence,3,1,2,1
philosophy of mind,concepts,3,3,4,0
philosophy of mind,change,2,0,1,1
philosophy of mind,literature,2,3,0,3
japanese philosophy,zen buddhism,3,1,-1,0
moral character,space and time,1,0,0,-1
moral character,god,3,3,4,3
moral character,philosophy of education,2,0,4,3
moral character,philosophy of psychology,3,3,4,1
moral character,virtues and vices,3,1,4,0
moral character,ancient philosophy (aristotle),3,3,3,1
moral character,philosophy of economics,1,-1,2,1
moral character,social philosophy and political philosophy,3,3,3,1
philosophy of mind,mental state,3,3,4,1
philosophy of mind,occasionalism,1,0,4,0
philosophy of mind,dualism and metaphysics of mind,3,1,4,0
philosophy of mind,divine illumination,1,0,4,1
philosophy of mind,spinoza's psychological theory,3,3,4,0
philosophy of mind,modularity of mind,3,3,4,0
philosophy of mind,mental representation in medieval philosophy,3,3,4,0
philosophy of mind,syntactic analysis,2,3,2,1
philosophy of mind,artificial intelligence,3,0,4,0
philosophy of mind,consciousness,3,2,4,0
philosophy of mind,mental content,3,3,4,0
mental content,concepts,3,3,4,2
mental content,mental representation,3,2,4,2
mental content,non-conceptual content,1,0,4,0
mental content,narrow mental content,3,1,4,0
mental content,nonconceptual mental content,3,0,4,0
mental content,intentionality,3,2,4,2
mental content,internalism and externalism,3,0,4,0
mental content,propositional attitude,3,1,4,2
mental content,theories of mental content,3,3,4,0
mental content,consciousness and mental content,3,0,4,0
mental content,contents of perception,3,2,4,0
mental content,mental imagery,3,2,4,2
mental content,externalism,3,3,4,1
mental content,representation,3,2,4,1
chinese philosophy,chinese buddhism,3,3,4,0
chinese philosophy,taoism,3,2,4,0
chinese philosophy,philosophy of education,2,3,0,-1
a priori and a posteriori,a priori justification and knowledge,3,3,4,0
a priori and a posteriori,knowledge and skepticism,3,3,4,1
a priori and a posteriori,epistemology,3,1,4,-1
a priori and a posteriori,epistemology,3,1,-1,1
a priori and a posteriori,reference,2,3,2,2
a priori and a posteriori,philosophy of mind,3,3,1,1
a priori and a posteriori,war and pacifism,0,-1,0,-1
a priori and a posteriori,philosophy of science,3,3,2,1
knowledge,rationalism vs. empiricism,3,0,4,0
knowledge,plato on knowledge in the theaetetus,3,0,4,0
knowledge,analysis of knowledge,3,3,4,0
philosophy of mind,metaphysics of mind,3,0,0,0
philosophy of mind,metaphysics of mind,3,0,4,-1
turing machine,function and teleology,3,3,0,-1
turing machine,universals,1,0,0,-1
sophists,method and metaphysics in plato's sophist and statesman,3,3,3,3
sophists,method and metaphysics in plato's sophist and statesman,3,3,3,3
sophists,names,1,0,2,1
sophists,philosophy of art,3,3,0,-1
sophists,virtues and vices,3,3,2,1
sophists,wisdom,1,0,4,1
sophists,abilities,3,3,0,-1
sophists,purpose,2,3,0,-1
sophists,attention,2,3,0,-1
sophists,philosophy of education,3,3,1,1
sophists,death,1,0,0,-1
zen buddhism,philosophy of religion,3,0,4,1
consciousness and mental content,mental content,3,2,2,-1
pietism,philosophy of religion,3,3,4,1
aristotle's logic,syllogism,3,1,4,1
aristotle's logic,categories,3,3,4,1
aristotle's logic,argument,3,1,4,1
aristotle's logic,contradiction,3,3,-1,3
aristotle's logic,metaphysics,3,3,3,3
empathy,empirical approaches to moral psychology,3,1,4,3
empathy,altruism,3,2,4,2
empathy,person,3,1,2,3
empathy,abilities,1,0,1,3
empathy,situations,3,1,0,-1
empathy,emotion,3,2,4,1
empathy,recognition,3,2,1,3
empathy,desires,2,3,-1,-1
empathy,philosophy of mind,3,1,3,1
empathy,psychiatry,3,3,3,1
perception,imagery,3,2,4,2
perception,self-knowledge,3,3,2,2
perception,ancient skepticism,3,3,4,3
perception,artistic representation,3,2,4,2
revision theory of truth,truth,3,3,4,1
revision theory of truth,truth,3,3,4,1
truth,relativism,3,0,4,-1
philosophy of mathematics,attention,1,0,0,-1
philosophy of mathematics,analysis,3,3,2,3
philosophy of mind,purpose,3,3,3,0
units and levels of selection,trait,3,3,4,2
units and levels of selection,evolution,3,3,4,1
units and levels of selection,gene,3,3,4,0
units and levels of selection,models and idealization,2,0,3,3
units and levels of selection,natural selection,3,3,4,1
units and levels of selection,fitness,3,3,4,1
units and levels of selection,species,3,3,4,1
ethics and art,philosophy of art,3,3,4,1
naturalized epistemology,population genetics,1,3,0,-1
ethics,social contract,3,1,4,1
psychiatry,attention,3,3,3,2
intentionality,consciousness,3,1,4,2
intentionality,consciousness and intentionality,3,0,4,0
intentionality,consciousness and intentionality,3,2,4,0
intentionality,mental state,3,3,4,1
turing machine,computation,3,1,4,0
metaphor,philosophy of language,3,3,4,-1
existence,possible worlds,3,3,3,2
ancient philosophy,knowledge,3,3,1,3
postmodernism,feminist epistemology and philosophy of science,3,0,2,3
postmodernism,deconstruction,3,2,4,1
postmodernism,rationalism and empiricism,1,0,3,2
postmodernism,meaning,3,2,3,3
perspectivism,life,3,2,0,-1
perspectivism,historicism,2,0,1,2
computation and representation,cognitive science,3,2,4,0
computation and representation,philosophy of psychology,3,3,3,0
computation and representation,artificial intelligence,3,3,4,0
computation and representation,psychiatry,1,0,1,3
computation and representation,folk psychology,2,3,3,0
computation and representation,connectionism,3,1,4,3
computation and representation,philosophies of the particular sciences,3,3,2,0
computation and representation,events,2,0,2,0
computation and representation,neural network,3,1,3,3
computation and representation,mental representation,3,3,4,0
philosophy of language,private language,3,3,4,1
physicalism,identity theory of mind,3,0,4,1
quantum mechanics,interpretation,3,3,1,3
quantum mechanics,philosophy of physics,3,2,4,0
quantum mechanics,bohmian mechanics,3,0,4,1
quantum mechanics,bohmian mechanics,3,0,4,1
quantum mechanics,probability,3,1,3,3
quantum mechanics,classical physics,3,3,3,2
quantum mechanics,descriptions,3,3,0,-1
quantum mechanics,philosophies of the particular sciences,3,3,4,0
quantum mechanics,formalism,3,3,0,-1
quantum mechanics,probability and statistics,3,3,3,3
quantum mechanics,bell's theorem,3,1,4,1
cognitive science,philosophies of the particular sciences,3,3,4,0
cognitive science,philosophy of science and the sciences,3,3,4,0
cognitive science,philosophy of psychology,3,0,4,2
cognitive science,philosophy of mind,3,0,4,2
cognitive science,embodied cognition,3,2,4,1
cognitive science,psychiatry,3,3,3,2
cognitive science,representation,3,3,4,1
cognitive science,models and idealization,3,3,4,3
cognitive science,philosophy of science,3,3,4,0
cognitive science,explanation,3,3,4,3
cognitive science,Information,3,3,4,3
cognitive science,attention,3,3,4,1
cognitive science,descriptions,3,3,1,3
cognitive science,mental representation,3,1,4,1
cognitive science,memory,3,3,4,1
cognitive science,philosophy of neuroscience,3,2,4,2
cognitive science,philosophy of neuroscience,3,0,4,2
cognitive science,computation,3,3,4,3
cognitive science,observation,3,3,1,0
cognitive science,body,3,3,3,3
cognitive science,mechanism,3,3,4,3
cognitive science,philosophy of language,3,2,3,2
cognitive science,function and teleology,3,3,2,1
cognitive science,concepts,3,3,4,1
cognitive science,function,3,3,4,1
absurdity,contradiction,2,0,3,2
absurdity,existence,3,2,4,0
absurdity,meaning,3,0,4,0
absurdity,purpose,3,0,4,0
logic,philosophies of the particular sciences,3,3,1,3
logic,consequences,3,3,4,1
modernism,idealism,2,-1,-1,-1
modernism,change,3,3,4,0
continental philosophy,epistemology,3,3,4,0
continental philosophy,attention,2,,2,1
continental philosophy,feminism,3,2,3,1
continental philosophy,history of philosophy,3,3,4,0
continental philosophy,analytic philosophy,1,0,4,2
continental philosophy,psychoanalysis,3,3,4,1
continental philosophy,continental feminism,3,2,3,1
philosophy of art,aesthetics,3,2,4,2
artistic form,artistic object,3,1,4,2
judaic philosophy,interpretation,3,3,1,3
Eternity in Christian Thought,space and time,3,3,3,2
Eternity in Christian Thought,time,3,3,4,0
Eternity in Christian Thought,god,3,3,4,2
Eternity in Christian Thought,god,3,3,4,2
interpretation,meaning,3,2,4,0
interpretation,purpose,3,3,2,3
interpretation,time,2,3,0,-1
interpretation,reference and denotation,3,3,3,1
interpretation,attention,2,3,1,3
philosophy of chemistry,philosophies of the particular sciences,3,3,4,0
philosophy of chemistry,philosophy of science and the sciences,3,3,4,0
philosophy of chemistry,philosophy of physics,3,2,4,2
philosophy of chemistry,philosophy of biology,3,2,3,2
philosophy of chemistry,substance,3,3,2,3
philosophy of chemistry,explanation,3,3,3,1
philosophy of chemistry,atomism from the 17th to the 20th century,3,3,4,2
philosophy of chemistry,atomism from the 17th to the 20th century,3,3,4,2
philosophy of chemistry,atomism,3,1,3,3
philosophy of chemistry,mechanism,3,3,3,1
philosophy of chemistry,reduction and emergence,3,3,4,1
philosophy of chemistry,observation,3,3,3,1
philosophy of chemistry,philosophy of psychology,2,3,1,2
philosophy of chemistry,literature,1,3,0,-1
taoism,daoism,3,2,4,2
taoism,confucianism,3,3,3,2
taoism,buddhism,3,0,3,2
taoism,philosophy of religion,3,2,3,0
taoism,names,1,0,1,3
taoism,chinese philosophy,3,3,4,0
taoism,Neo-Daoism,3,2,4,1
chinese philosophy,daoism,3,1,4,1
sado-masochism,fetishism,3,0,2,2
sado-masochism,homosexuality,1,3,1,3
anarchism,philosophy of war,2,0,1,3
anarchism,authority,3,3,4,2
anarchism,Revolution,3,0,3,3
anarchism,political philosophy,3,3,4,0
anarchism,time,1,-1,0,-1
anarchism,consequences,3,3,0,-1
anarchism,autonomy,3,2,2,3
solipsism,idealism,3,2,2,2
solipsism,recognition,2,0,0,-1
solipsism,philosophy of mind,3,2,3,0
solipsism,self,3,3,4,2
developmental biology,philosophy of biology,3,3,4,0
developmental biology,philosophies of the particular sciences,3,3,4,0
developmental biology,philosophy of science and the sciences,3,3,3,0
developmental biology,evolutionary theory,3,3,4,2
developmental biology,molecular biology and genetics,3,3,4,2
developmental biology,gene,3,1,4,2
developmental biology,molecular biology,3,3,4,2
developmental biology,trait,3,1,4,2
developmental biology,evolution,3,3,4,2
developmental biology,mechanism,3,1,4,3
metaphysics,ontology,3,3,4,1
metaphysics,matter,3,3,3,1
metaphysics,existence,3,3,4,1
metaphysics,attention,2,3,0,-1
metaphysics,universals,3,3,4,1
metaphysics,time,3,3,3,3
metaphysics,philosophy of science,3,3,2,3
metaphysics,philosophy of mind,3,0,3,3
metaphysics,space and time,3,3,4,3
aesthetic experience,aesthetics,3,1,4,1
fallacies_(duplicate_to_remove),argument,3,1,4,0
fallacies_(duplicate_to_remove),ontology,2,3,1,3
fallacies_(duplicate_to_remove),inference,3,1,4,0
fallacies_(duplicate_to_remove),reference,1,-1,2,3
fallacies_(duplicate_to_remove),consequences,2,3,2,3
fallacies_(duplicate_to_remove),analysis,2,3,3,3
fallacies_(duplicate_to_remove),definition,2,3,2,3
fallacies_(duplicate_to_remove),interpretation,2,3,1,3
lesbianism,sexuality,3,1,4,0
lesbianism,homosexuality,3,0,4,0
lesbianism,race,1,0,2,3
lesbianism,definition,1,,0,-1
david lewis's metaphysics,possible worlds,3,1,4,3
context of discovery,context of justification,3,3,4,2
context of discovery,justification,3,3,2,3
context of discovery,scientific theory,3,1,4,0
context of discovery,Scientific Discovery,3,1,4,0
context of discovery,ontology,2,0,2,3
context of discovery,history of science,3,3,4,3
context of discovery,philosophy of physics,1,0,3,3
context of discovery,progress,3,3,1,3
context of discovery,rationalism and empiricism,3,0,3,3
context of discovery,scientific methodology,3,3,4,0
context of discovery,analysis,3,3,1,3
context of discovery,empiricism,3,3,4,0
context of discovery,philosophy of biology,1,-1,2,3
context of discovery,reference and denotation,1,0,0,-1
context of discovery,reference,1,0,0,-1
context of discovery,evidence,3,3,4,3
context of discovery,philosophy of science,3,3,4,0
context of discovery,respect,1,,0,-1
context of discovery,knowledge and skepticism,3,3,1,3
context of discovery,attention,2,3,0,-1
context of discovery,knowledge,3,1,1,3
context of discovery,concepts,3,3,2,3
parsimony,simplicity,3,2,4,2
parsimony,ontology,3,3,3,3
chinese philosophy,Science and Chinese Philosophy,3,0,4,1
chinese philosophy,confucianism,3,1,4,1
chinese philosophy,ontology,3,3,2,3
chinese philosophy,Translating and Interpreting Chinese Philosophy,3,1,4,1
chinese philosophy,buddhism,3,3,3,2
chinese philosophy,wisdom,3,2,3,0
chinese philosophy,chinese-western comparative philosophy,3,3,4,3
chinese philosophy,western philosophy,3,0,2,2
chinese philosophy,culture,3,3,3,0
chinese philosophy,ethics,3,3,4,3
pain,pleasure,3,0,3,2
pain,pleasure,3,0,3,2
pain,ontology,2,3,0,-1
pain,attention,2,3,1,3
pain,virtues and vices,1,0,1,3
pain,matter,3,3,0,-1
pain,respect,1,3,0,-1
pain,consequences,2,1,1,3
pain,qualities,1,-1,1,0
pain,mind,3,1,4,0
pain,philosophy of mind,3,3,4,0
pain,body,3,1,3,3
pain,existence,2,0,0,-1
pain,purpose,2,3,0,-1
pain,life,3,3,1,0
pain,reference and denotation,1,-1,0,-1
pain,change,2,3,0,-1
metaphysics,goodness,3,3,0,-1
consciousness,unity of consciousness,3,1,4,1
consciousness,ontology,3,0,1,3
consciousness,self,3,2,4,2
consciousness,philosophy of mind,3,2,4,0
consciousness,attention,3,0,4,2
consciousness,animal consciousness,3,1,4,1
consciousness,animal consciousness,3,1,4,1
consciousness,perception,3,2,4,2
consciousness,philosophy of perception,3,2,4,2
consciousness,consciousness and intentionality,3,0,4,2
consciousness,consciousness and intentionality,3,2,4,2
fallacies,fallacies_(duplicate_to_remove),3,0,4,2
fallacies,argument,3,3,3,2
fallacies,ontology,2,0,1,3
fallacies,inference,3,1,4,0
fallacies,reference and denotation,1,-1,0,-1
fallacies,analysis,2,3,0,-1
fallacies,consequences,3,3,0,-1
fallacies,reference,1,,0,-1
fallacies,definition,3,3,0,-1
fallacies,interpretation,3,1,0,-1
bounded rationality,rationality,3,1,4,0
bounded rationality,Information,3,3,3,3
bounded rationality,probability,3,3,3,3
bounded rationality,philosophy of technology,2,0,0,-1
bounded rationality,philosophy of economics,3,3,3,3
medieval theories of causality,medieval theories of causation,3,2,4,2
medieval theories of causality,medieval philosophy,3,3,4,0
medieval theories of causality,literature,2,3,0,-1
defaults in semantics and pragmatics,defaults,0,,4,0
daoism,taoism,3,2,4,2
taoism,religion,3,3,4,0
rule-consequentialism,rule consequentialism,3,2,4,2
essential versus accidental properties,essential vs. accidental properties,0,-1,4,2
essential versus accidental properties,property and ownership,3,1,4,0
essential versus accidental properties,properties,3,1,4,0
essential versus accidental properties,essentialism,3,3,4,0
essential versus accidental properties,object,3,1,4,0
essential versus accidental properties,abstract object,1,0,4,0
Experiment in Biology,philosophy of biology,3,3,4,0
Experiment in Biology,molecular biology and genetics,3,1,4,1
Experiment in Biology,mechanism,3,3,4,3
Experiment in Biology,philosophies of the particular sciences,3,3,4,0
Experiment in Biology,experimentation,3,0,4,0
Experiment in Biology,evidence,3,3,4,0
Experiment in Biology,replication,3,1,3,3
Experiment in Biology,models and idealization,3,3,3,3
eliminativism,ontology,3,3,4,0
eliminativism,eliminative materialism,3,2,4,2
eliminativism,argument,1,0,0,-1
eliminativism,existence,3,0,2,3
eliminativism,attention,1,0,1,3
eliminativism,pain,1,0,2,3
eliminativism,psychiatry,2,0,3,3
eliminativism,attributes,2,3,1,3
eliminativism,interpretation,1,0,0,-1
eliminativism,philosophy of psychology,3,3,4,0
eliminativism,literature,1,3,0,-1
eliminativism,relations,1,3,0,-1
eliminativism,virtues and vices,1,3,0,-1
eliminativism,belief,3,3,4,3
eliminativism,philosophies of the particular sciences,3,3,4,0
eliminativism,reference and denotation,3,3,1,3
eliminativism,descriptions,2,3,1,3
eliminativism,propositional attitude,2,0,4,3
eliminativism,mental state,3,3,4,3
eliminativism,purpose,2,3,2,3
foundationalism,coherentism,3,0,4,2
foundationalism,epistemology,3,3,4,0
foundationalism,justification,3,3,4,0
